customer_id,order_date,product_id,category_id,category_name,product_name,quantity,price,payment_method,city,review_score,gender,age,Revenue,Order Month,Order Year,Order Quarter,Age Group
13542,45643,784,10,Electronics,Smartphone,2,373.36,Credit Card,New Oliviaberg,1.0,F,56,746.72,December,2024,Q4,56-65
23188,45444,682,50,Sports & Outdoors,Soccer Ball,5,299.34,Credit Card,Port Matthew,,M,59,1496.7,June,2024,Q2,56-65
55098,45692,684,50,Sports & Outdoors,Tent,5,23.0,Credit Card,West Sarah,5.0,F,64,115.0,February,2025,Q1,56-65
65208,45593,204,40,Books & Stationery,Story Book,2,230.11,Bank Transfer,Hernandezburgh,5.0,M,34,460.22,October,2024,Q4,26-35
63872,45422,202,20,Fashion,Skirt,4,176.72,Credit Card,Jenkinshaven,1.0,F,33,706.88,May,2024,Q2,26-35
29989,45629,829,10,Electronics,Smartphone,4,196.16,Bank Transfer,East Tonyaberg,5.0,F,21,784.64,December,2024,Q4,19-25
79809,45450,706,10,Electronics,Tablet,5,272.75,Bank Transfer,North Jessicabury,,M,57,1363.75,June,2024,Q2,56-65
27282,45488,405,50,Sports & Outdoors,Yoga Mat,2,292.9,Cash on Delivery,Aliciaberg,,F,60,585.8,July,2024,Q3,56-65
41394,45643,549,30,Home & Living,Pillow,3,429.11,Credit Card,West Larrymouth,3.0,F,69,1287.33,December,2024,Q4,65+
48695,45394,545,30,Home & Living,Blanket,4,191.39,Credit Card,Lake Ian,5.0,F,34,765.56,April,2024,Q2,26-35
27389,45688,549,10,Electronics,Smartwatch,2,321.14,Cash on Delivery,Elizabethmouth,5.0,M,26,642.28,January,2025,Q1,26-35
74067,45470,773,40,Books & Stationery,Notebook,3,494.87,Cash on Delivery,Melanieberg,5.0,M,37,1484.61,June,2024,Q2,36-45
49331,45433,526,30,Home & Living,Pillow,5,122.23,Credit Card,Allisonland,5.0,M,32,611.15,May,2024,Q2,26-35
61360,45629,544,10,Electronics,Laptop,3,457.44,Cash on Delivery,Myershaven,5.0,M,60,1372.32,December,2024,Q4,56-65
24426,45695,943,40,Books & Stationery,Pen,2,443.49,Cash on Delivery,South Tonya,4.0,M,67,886.98,February,2025,Q1,65+
10486,45548,297,20,Fashion,Shirt,2,274.1,Cash on Delivery,Port Allisonfort,4.0,F,54,548.2,September,2024,Q3,46-55
75474,45434,107,40,Books & Stationery,Notebook,1,117.47,Credit Card,Levyport,4.0,M,73,117.47,May,2024,Q2,65+
79898,45370,871,10,Electronics,Smartphone,5,84.89,Credit Card,Fullerland,5.0,M,68,424.45,March,2024,Q1,65+
41736,45593,457,10,Electronics,Tablet,4,196.99,Bank Transfer,North Anthony,4.0,unknown,72,787.96,October,2024,Q4,65+
69719,45650,941,10,Electronics,Smartphone,2,344.04,Cash on Delivery,North Whitneytown,5.0,F,29,688.08,December,2024,Q4,26-35
93992,45631,853,30,Home & Living,Pillow,1,153.82,Credit Card,West Cynthiaton,4.0,unknown,29,153.82,December,2024,Q4,26-35
65011,45708,938,30,Home & Living,Carpet,4,383.36,Cash on Delivery,East Christopher,5.0,F,42,1533.44,February,2025,Q1,36-45
80441,45499,867,30,Home & Living,Carpet,2,308.4,Credit Card,Port Danielleview,3.0,M,52,616.8,July,2024,Q3,46-55
95874,45656,424,50,Sports & Outdoors,Soccer Ball,3,303.48,Bank Transfer,East Christopherborough,,unknown,48,910.44,December,2024,Q4,46-55
11145,45391,461,30,Home & Living,Blanket,1,38.38,Cash on Delivery,Douglasport,5.0,M,34,38.38,April,2024,Q2,26-35
81289,45491,485,40,Books & Stationery,Novel,1,489.21,Cash on Delivery,North Jamesside,5.0,M,60,489.21,July,2024,Q3,56-65
36732,45669,704,40,Books & Stationery,Eraser,3,90.91,Cash on Delivery,North Carrie,5.0,M,42,272.73,January,2025,Q1,36-45
33678,45383,732,20,Fashion,Shirt,1,380.08,Cash on Delivery,Port Kenneth,1.0,M,29,380.08,April,2024,Q2,26-35
71289,45668,815,30,Home & Living,Vase,1,450.81,Bank Transfer,East Kylie,,M,50,450.81,January,2025,Q1,46-55
86746,45375,768,30,Home & Living,Pillow,3,298.27,Credit Card,Mendezburgh,4.0,M,62,894.81,March,2024,Q1,56-65
23094,45674,658,10,Electronics,Laptop,2,43.03,Credit Card,Kristenland,5.0,M,56,86.06,January,2025,Q1,56-65
30037,45509,314,20,Fashion,Dress,5,337.8,Credit Card,Lake Sarah,4.0,F,28,1689.0,August,2024,Q3,26-35
61642,45620,264,50,Sports & Outdoors,Tent,1,241.61,Bank Transfer,Fryeberg,5.0,M,19,241.61,November,2024,Q4,19-25
52189,45536,653,10,Electronics,Tablet,1,183.61,Bank Transfer,Lake Michael,4.0,F,49,183.61,September,2024,Q3,46-55
71248,45474,289,10,Electronics,Smartphone,5,207.28,Bank Transfer,North Mary,5.0,M,42,1036.4,July,2024,Q3,36-45
14872,45382,353,20,Fashion,Pants,2,272.78,Credit Card,Cynthiaport,4.0,M,32,545.56,March,2024,Q1,26-35
46992,45425,824,20,Fashion,T-shirt,2,227.13,Cash on Delivery,East Corytown,,F,30,454.26,May,2024,Q2,26-35
21565,45517,499,50,Sports & Outdoors,Soccer Ball,4,484.81,Credit Card,Martinezview,,F,43,1939.24,August,2024,Q3,36-45
26160,45720,374,20,Fashion,Skirt,2,452.2,Credit Card,North Terrancehaven,3.0,unknown,25,904.4,March,2025,Q1,19-25
35007,45452,355,30,Home & Living,Vase,2,149.77,Cash on Delivery,Lake Rhondatown,5.0,unknown,65,299.54,June,2024,Q2,56-65
93989,45407,573,50,Sports & Outdoors,Running Shoes,5,85.85,Bank Transfer,Williamston,1.0,M,70,429.25,April,2024,Q2,65+
37401,45520,861,50,Sports & Outdoors,Soccer Ball,1,376.51,Credit Card,Lake Jeffrey,,F,63,376.51,August,2024,Q3,56-65
82700,45442,410,50,Sports & Outdoors,Basketball,5,37.87,Cash on Delivery,New Carolfort,,M,55,189.35,May,2024,Q2,46-55
38245,45607,615,50,Sports & Outdoors,Soccer Ball,4,340.85,Credit Card,Franklinmouth,4.0,unknown,36,1363.4,November,2024,Q4,36-45
76140,45472,673,50,Sports & Outdoors,Basketball,2,293.67,Credit Card,New Terri,5.0,M,65,587.34,June,2024,Q2,56-65
63313,45513,182,50,Sports & Outdoors,Tent,5,266.16,Bank Transfer,Jeffreyview,1.0,F,59,1330.8,August,2024,Q3,56-65
10299,45623,971,20,Fashion,Dress,4,203.94,Cash on Delivery,Teresaville,5.0,F,33,815.76,November,2024,Q4,26-35
32232,45558,476,10,Electronics,Smartphone,1,234.56,Cash on Delivery,Mcdonaldmouth,5.0,M,55,234.56,September,2024,Q3,46-55
48690,45393,161,20,Fashion,Shirt,3,139.95,Bank Transfer,West Geraldhaven,5.0,F,18,419.85,April,2024,Q2,0-18
94108,45677,837,30,Home & Living,Painting,2,87.3,Cash on Delivery,Bowmanmouth,5.0,F,72,174.6,January,2025,Q1,65+
54503,45385,416,50,Sports & Outdoors,Soccer Ball,2,337.25,Cash on Delivery,Walkerland,2.0,F,42,674.5,April,2024,Q2,36-45
69170,45442,660,20,Fashion,Dress,4,66.56,Credit Card,Port Patriciashire,5.0,M,62,266.24,May,2024,Q2,56-65
68220,45550,961,30,Home & Living,Carpet,2,113.21,Bank Transfer,Jacobburgh,1.0,F,50,226.42,September,2024,Q3,46-55
53004,45554,309,30,Home & Living,Carpet,5,249.38,Credit Card,New Brittanytown,,M,20,1246.9,September,2024,Q3,19-25
57158,45498,294,30,Home & Living,Pillow,4,11.74,Credit Card,Woodshaven,5.0,M,59,46.96,July,2024,Q3,56-65
15676,45404,649,40,Books & Stationery,Eraser,3,355.78,Cash on Delivery,Rachelland,,M,72,1067.34,April,2024,Q2,65+
34358,45673,945,20,Fashion,Shirt,1,27.65,Bank Transfer,Gonzalezshire,4.0,M,50,27.65,January,2025,Q1,46-55
83983,45505,395,20,Fashion,T-shirt,5,161.05,Credit Card,Blakeshire,5.0,M,55,805.25,August,2024,Q3,46-55
56955,45487,922,20,Fashion,T-shirt,1,183.3,Cash on Delivery,Whitakerview,5.0,M,24,183.3,July,2024,Q3,19-25
